,KW,CHWTON,HTmmBTU,Combined mmBTU,GHG,KWS
KW,1.0,0.7934092322369766,-0.6492011440974291,0.8635010588585451,0.7380959544147392,0.22796293791138728
CHWTON,0.7934092322369766,1.0,-0.7033933145255081,0.9607056874478903,0.5610302323085274,0.35490855472622385
HTmmBTU,-0.6492011440974291,-0.7033933145255081,1.0,-0.6944967867158289,-0.5258609320088945,-0.19318074247852174
Combined mmBTU,0.8635010588585451,0.9607056874478903,-0.6944967867158289,1.0,0.614091666387433,0.3255277240890098
GHG,0.7380959544147392,0.5610302323085274,-0.5258609320088945,0.614091666387433,1.0,-0.31215223095483446
KWS,0.22796293791138728,0.35490855472622385,-0.19318074247852174,0.3255277240890098,-0.31215223095483446,1.0
