,KW,CHWTON,HTmmBTU,Combined mmBTU,GHG,KWS
KW,1.0,0.8197711513592023,-0.5547554198522248,0.827726276881544,0.754573597394843,0.22182867227063885
CHWTON,0.8197711513592023,1.0,-0.6265450011704337,0.9033708722113135,0.5911070965896656,0.308141636366397
HTmmBTU,-0.5547554198522248,-0.6265450011704337,1.0,-0.590113593014933,-0.4486576921936384,-0.1485724399350289
Combined mmBTU,0.827726276881544,0.9033708722113135,-0.590113593014933,1.0,0.6333536468346441,0.2697512342880847
GHG,0.754573597394843,0.5911070965896656,-0.4486576921936384,0.6333536468346441,1.0,-0.37811964331756676
KWS,0.22182867227063885,0.308141636366397,-0.1485724399350289,0.2697512342880847,-0.37811964331756676,1.0
