,KW,CHWTON,HTmmBTU,Combined mmBTU,GHG,KWS
KW,1.0,0.6078550476857905,-0.45825355112958666,0.6784183708680472,0.5800875026230645,0.149770609215118
CHWTON,0.6078550476857905,1.0,-0.5259852988522377,0.8557280668469271,0.37901368432897314,0.23507093144820382
HTmmBTU,-0.45825355112958666,-0.5259852988522377,1.0,-0.5199238707882426,-0.3576145252151163,-0.12997488198008234
Combined mmBTU,0.6784183708680472,0.8557280668469271,-0.5199238707882426,1.0,0.42778516736518285,0.21444730265791276
GHG,0.5800875026230645,0.37901368432897314,-0.3576145252151163,0.42778516736518285,1.0,-0.21186856208567673
KWS,0.149770609215118,0.23507093144820382,-0.12997488198008234,0.21444730265791276,-0.21186856208567673,1.0
