campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2024,1,1,0,10040.45,45.76,1571.24,6.96,60.07,10.98,2869,717176,274,1579,394601,151,583,145671,56,5030,1257447,13534,5.428,2,2024-01-01T00:00:00.000
Tempe,, , ,2024,1,1,1,10058.48,45.8,1506.19,6.9399999999999995,59.33,10.85,2874,718463,275,1513,378266,145,581,145232,56,4968,1241961,13016,5.436,2,2024-01-01T01:00:00.000
Tempe,, , ,2024,1,1,2,10103.8,45.81,1479.03,7.51,59.73,10.92,2887,721700,276,1486,371444,142,629,157172,60,5002,1250316,12803,5.461,2,2024-01-01T02:00:00.000
Tempe,, , ,2024,1,1,3,10118.35,45.78,1470.46,7.45,59.62,10.9,2891,722740,276,1478,369290,141,624,155940,60,4992,1247969,12736,5.469,2,2024-01-01T03:00:00.000
Tempe,, , ,2024,1,1,4,10148.7,45.78,1490.1,7.79,60.3,11.02,2900,724907,277,1497,374222,143,653,163124,62,5050,1262254,12896,5.487,2,2024-01-01T04:00:00.000
Tempe,, , ,2024,1,1,5,10486.2,45.78,1577.35,8.41,63.12,11.54,2996,749015,286,1585,396136,151,704,176020,67,5285,1321171,13626,5.67,2,2024-01-01T05:00:00.000
Tempe,, , ,2024,1,1,6,10911.13,45.79,1639.38,8.7,65.61,11.99,3117,779366,298,1647,411713,157,729,182152,70,5494,1373232,14163,5.899,2,2024-01-01T06:00:00.000
Tempe,, , ,2024,1,1,7,10992.85,48.68,1696.46,8.62,66.49,12.15,3141,785204,300,1705,426049,163,722,180480,69,5568,1391733,14628,5.942,2,2024-01-01T07:00:00.000
Tempe,, , ,2024,1,1,8,10840.5,207.04,1714.78,8.48,66.05,12.07,3097,774322,296,1723,430650,165,710,177441,68,5530,1382414,14760,5.773,2,2024-01-01T08:00:00.000
Tempe,, , ,2024,1,1,9,10635.05,716.67,1838.85,8.44,66.79,12.21,3039,759647,290,1848,461809,177,706,176566,67,5593,1398021,15733,5.386,2,2024-01-01T09:00:00.000
Tempe,, , ,2024,1,1,10,10175.35,1302.93,1842.6,8.36,65.19,11.92,2907,726811,278,1851,462750,177,700,174979,67,5459,1364540,15718,4.816,2,2024-01-01T10:00:00.000
Tempe,, , ,2024,1,1,11,10236.05,2123.11,1838.42,7.6,64.58,11.8,2925,731147,279,1847,461700,176,636,158956,61,5408,1351803,15691,4.405,2,2024-01-01T11:00:00.000
Tempe,, , ,2024,1,1,12,10653,2484.72,1974.77,7.25,67.3,12.3,3044,760929,291,1984,495944,190,607,151819,58,5635,1408693,16822,4.435,2,2024-01-01T12:00:00.000
Tempe,, , ,2024,1,1,13,10546.05,2330.22,2182.93,7.08,69.26,12.66,3013,753290,288,2193,548221,210,593,148202,57,5800,1449713,18476,4.461,2,2024-01-01T13:00:00.000
Tempe,, , ,2024,1,1,14,10729.6,1585.04,2381.12,7.4,72.59,13.27,3066,766400,293,2393,597994,229,620,154937,59,6078,1519332,20080,4.965,2,2024-01-01T14:00:00.000
Tempe,, , ,2024,1,1,15,10638.08,1229.47,2545.17,7.25,74.1,13.54,3039,759863,290,2557,639194,244,607,151825,58,6204,1550881,21383,5.109,2,2024-01-01T15:00:00.000
Tempe,, , ,2024,1,1,16,10696.25,765.14,2441.65,6.98,72.77,13.3,3056,764018,292,2453,613196,234,584,146003,56,6094,1523217,20561,5.392,2,2024-01-01T16:00:00.000
Tempe,, , ,2024,1,1,17,10573.93,144.4,2303.79,7.37,71.1,13,3021,755281,289,2315,578573,221,617,154306,59,5953,1488160,19446,5.666,2,2024-01-01T17:00:00.000
Tempe,, , ,2024,1,1,18,10496.13,46.81,2204.52,7.6899999999999995,69.96,12.79,2999,749724,287,2215,553643,212,644,160899,62,5858,1464265,18644,5.674,2,2024-01-01T18:00:00.000
Tempe,, , ,2024,1,1,19,10331.05,45.77,2140.72,7.78,68.72,12.56,2952,737932,282,2151,537619,206,652,162875,62,5754,1438426,18118,5.585,2,2024-01-01T19:00:00.000
Tempe,, , ,2024,1,1,20,10200.5,45.77,2025.11,7.48,66.59,12.17,2914,728607,278,2035,508586,194,627,156648,60,5576,1393841,17181,5.514,2,2024-01-01T20:00:00.000
Tempe,, , ,2024,1,1,21,10820.92,45.78,1865.84,7.59,66.9,12.23,3092,772924,295,1875,468586,179,636,158878,61,5602,1400388,15966,5.852,2,2024-01-01T21:00:00.000
Tempe,, , ,2024,1,1,22,11815.65,45.77,1609.36,7.18,66.81,12.21,3376,843975,323,1617,404175,154,601,150336,57,5595,1398486,14010,6.392,2,2024-01-01T22:00:00.000
Tempe,, , ,2024,1,1,23,11721.9,45.77,1547.73,6.84,65.41,11.96,3349,837279,320,1555,388698,149,573,143152,55,5477,1369129,13508,6.339,2,2024-01-01T23:00:00.000
Tempe,, , ,2024,1,2,0,12377.65,45.78,1642.5,6.82,68.76,12.57,3536,884118,338,1650,412497,158,571,142692,55,5758,1439307,14329,6.696,3,2024-01-02T00:00:00.000
Tempe,, , ,2024,1,2,1,12143.98,45.82,1535.95,7,66.87,12.22,3470,867427,331,1543,385738,147,586,146561,56,5599,1399727,13454,6.57,3,2024-01-02T01:00:00.000
Tempe,, , ,2024,1,2,2,12165.25,45.79,1495.64,7.05,66.51,12.16,3476,868947,332,1503,375616,144,591,147591,56,5569,1392153,13134,6.5809999999999995,3,2024-01-02T02:00:00.000
Tempe,, , ,2024,1,2,3,12285.03,45.81,1485.78,6.86,66.61,12.18,3510,877502,335,1493,373138,143,575,143642,55,5578,1394282,13066,6.644,3,2024-01-02T03:00:00.000
Tempe,, , ,2024,1,2,4,12020.27,45.78,1395.94,7.49,65.26,11.93,3434,858591,328,1403,350576,134,627,156734,60,5464,1365901,12322,6.498,3,2024-01-02T04:00:00.000
Tempe,, , ,2024,1,2,5,11791.17,45.79,1512.92,8.78,67.17,12.28,3369,842227,322,1520,379955,145,735,183786,70,5624,1405968,13236,6.378,3,2024-01-02T05:00:00.000
Tempe,, , ,2024,1,2,6,11096.1,45.81,1622.63,8.7,66.03,12.07,3170,792579,303,1630,407508,156,728,182066,70,5529,1382153,14047,6,3,2024-01-02T06:00:00.000
Tempe,, , ,2024,1,2,7,11104.92,49.07,1617.43,9.18,66.49,12.15,3173,793209,303,1625,406202,155,769,192220,73,5567,1391631,14006,6.004,3,2024-01-02T07:00:00.000
Tempe,, , ,2024,1,2,8,10832.25,353.34,1700.09,9.01,66.37,12.13,3095,773732,296,1708,426961,163,755,188584,72,5558,1389277,14641,5.6899999999999995,3,2024-01-02T08:00:00.000
Tempe,, , ,2024,1,2,9,11034.65,2280.11,1773.99,8.47,67.4,12.32,3153,788190,301,1783,445521,170,709,177164,68,5644,1410875,15252,4.755,3,2024-01-02T09:00:00.000
Tempe,, , ,2024,1,2,10,11404.52,4325.5,1950.38,7.72,70.04,12.8,3258,814609,311,1960,489820,187,647,161629,62,5865,1466057,16699,3.844,3,2024-01-02T10:00:00.000
Tempe,, , ,2024,1,2,11,11768.85,5276.38,2195.64,8.29,74.79,13.67,3363,840632,321,2206,551414,211,694,173464,66,6263,1565510,18696,3.526,3,2024-01-02T11:00:00.000
Tempe,, , ,2024,1,2,12,11983.6,5506.54,2435.57,6.87,76.98,14.07,3424,855972,327,2447,611670,234,575,143696,55,6446,1611337,20636,3.517,3,2024-01-02T12:00:00.000
Tempe,, , ,2024,1,2,13,12147.3,5418.1,2703.3,7.21,81.1,14.82,3471,867665,332,2716,678908,260,604,150993,58,6791,1697565,22793,3.653,3,2024-01-02T13:00:00.000
Tempe,, , ,2024,1,2,14,11974.83,4791.86,2862.71,6.72,81.93,14.97,3421,855345,327,2876,718940,275,562,140575,54,6860,1714861,24052,3.9,3,2024-01-02T14:00:00.000
Tempe,, , ,2024,1,2,15,11952.15,3550.25,3046.01,7,84.34,15.42,3415,853725,326,3061,764974,292,586,146586,56,7062,1765285,25516,4.562,3,2024-01-02T15:00:00.000
Tempe,, , ,2024,1,2,16,11687.1,1523.58,2957.48,7.13,82.5,15.08,3339,834793,319,2972,742741,284,597,149181,57,6908,1726715,24782,5.518,3,2024-01-02T16:00:00.000
Tempe,, , ,2024,1,2,17,11326.78,168.82,2841.71,7.11,79.85,14.6,3236,809056,309,2855,713667,273,595,148708,57,6687,1671430,23822,6.059,3,2024-01-02T17:00:00.000
Tempe,, , ,2024,1,2,18,11003.38,47.42,2526.9,7.26,75.13,13.73,3144,785956,300,2539,634606,243,608,151896,58,6291,1572458,21272,5.949,3,2024-01-02T18:00:00.000
Tempe,, , ,2024,1,2,19,10792.08,45.78,2310.75,7.42,71.98,13.16,3083,770863,295,2322,580322,222,622,155377,59,6027,1506562,19523,5.837,3,2024-01-02T19:00:00.000
Tempe,, , ,2024,1,2,20,10470.35,45.79,2109.95,7.12,68.17,12.46,2992,747882,286,2120,529893,203,596,149046,57,5708,1426822,17885,5.661,3,2024-01-02T20:00:00.000
Tempe,, , ,2024,1,2,21,11476.88,45.8,1997.92,7.26,70.4,12.87,3279,819777,313,2008,501757,192,608,151929,58,5895,1473463,17086,6.207,3,2024-01-02T21:00:00.000
Tempe,, , ,2024,1,2,22,12822.85,45.77,1808.53,7.11,72.57,13.26,3664,915918,350,1817,454194,174,596,148870,57,6077,1518982,15700,6.937,3,2024-01-02T22:00:00.000
Tempe,, , ,2024,1,2,23,12509.9,45.77,1751.68,7.03,70.73,12.93,3574,893565,341,1760,439916,168,589,147092,56,5923,1480573,15215,6.768,3,2024-01-02T23:00:00.000
Tempe,, , ,2024,1,3,0,12400.88,45.79,1632.52,7.03,68.93,12.6,3543,885777,339,1640,409991,157,588,147086,56,5772,1442855,14251,6.707,4,2024-01-03T00:00:00.000
Tempe,, , ,2024,1,3,1,12216.5,45.76,1569.09,7.04,67.55,12.35,3490,872607,333,1577,394061,151,589,147334,56,5657,1414003,13726,6.608,4,2024-01-03T01:00:00.000
Tempe,, , ,2024,1,3,2,12069.9,45.75,1544.52,7.22,66.94,12.23,3449,862136,329,1552,387891,148,604,151038,58,5605,1401065,13516,6.5280000000000005,4,2024-01-03T02:00:00.000
Tempe,, , ,2024,1,3,3,12030.7,45.74,1508.19,7.51,66.66,12.18,3437,859336,328,1515,378767,145,629,157156,60,5582,1395259,13221,6.508,4,2024-01-03T03:00:00.000
Tempe,, , ,2024,1,3,4,11889.72,45.79,1489.01,7.8100000000000005,66.25,12.11,3397,849266,325,1496,373949,143,654,163479,62,5547,1386695,13054,6.43,4,2024-01-03T04:00:00.000
Tempe,, , ,2024,1,3,5,12297.58,45.8,1561.42,8.63,69.33,12.67,3514,878399,336,1569,392135,150,723,180651,69,5805,1451184,13673,6.6530000000000005,4,2024-01-03T05:00:00.000
Tempe,, , ,2024,1,3,6,10948.65,45.87,1682.19,9.59,67.14,12.27,3128,782047,299,1690,422466,161,803,200738,77,5622,1405251,14509,5.921,4,2024-01-03T06:00:00.000
Tempe,, , ,2024,1,3,7,10607.88,51.93,1768.11,9.28,66.7,12.19,3031,757706,290,1777,444043,170,777,194303,74,5585,1396052,15164,5.73,4,2024-01-03T07:00:00.000
Tempe,, , ,2024,1,3,8,10941.1,512.78,1863.41,8.88,68.57,12.53,3126,781507,299,1872,467978,179,743,185811,71,5742,1435296,15958,5.663,4,2024-01-03T08:00:00.000
Tempe,, , ,2024,1,3,9,11212.45,1792.34,1947.36,8.38,70.01,12.8,3204,800890,306,1957,489061,187,702,175483,67,5862,1465433,16656,5.112,4,2024-01-03T09:00:00.000
Tempe,, , ,2024,1,3,10,11638.77,3645.81,2103.82,8.08,73.04,13.35,3325,831341,318,2114,528353,202,676,169046,65,6116,1528741,17949,4.339,4,2024-01-03T10:00:00.000
Tempe,, , ,2024,1,3,11,11858.53,4769.98,2222.39,7.5600000000000005,74.69,13.65,3388,847038,324,2233,558130,213,633,158272,61,6254,1563440,18918,3.85,4,2024-01-03T11:00:00.000
Tempe,, , ,2024,1,3,12,12297.28,4934.83,2380.74,7.33,77.86,14.23,3514,878377,336,2392,597900,229,614,153432,59,6520,1629709,20227,3.997,4,2024-01-03T12:00:00.000
Tempe,, , ,2024,1,3,13,12141.2,3868.47,2572.85,7.08,79.38,14.51,3469,867229,331,2585,646146,247,592,148081,57,6647,1661455,21749,4.493,4,2024-01-03T13:00:00.000
Tempe,, , ,2024,1,3,14,12117.9,2507.72,2668.43,7.26,80.63,14.74,3462,865565,331,2681,670148,256,608,151962,58,6752,1687675,22511,5.217,4,2024-01-03T14:00:00.000
Tempe,, , ,2024,1,3,15,11739.32,1189.27,2643.98,7.18,78.96,14.43,3354,838524,320,2657,664010,254,601,150199,57,6612,1652733,22279,5.729,4,2024-01-03T15:00:00.000
Tempe,, , ,2024,1,3,16,11553.68,311.87,2614.72,7.26,78.06,14.27,3301,825263,315,2627,656662,251,608,151918,58,6536,1633843,22028,6.103,4,2024-01-03T16:00:00.000
Tempe,, , ,2024,1,3,17,11725.13,31.35,2425.93,7.3,76.41,13.97,3350,837509,320,2438,609247,233,611,152693,58,6399,1599450,20534,6.349,4,2024-01-03T17:00:00.000
Tempe,, , ,2024,1,3,18,11770.92,0.53,2386.27,7.47,76.27,13.94,3363,840781,321,2398,599288,229,626,156341,60,6386,1596409,20221,6.392,4,2024-01-03T18:00:00.000
Tempe,, , ,2024,1,3,19,11199.35,0.42,2227.41,7.89,72.83,13.31,3200,799954,306,2238,559391,214,661,165095,63,6098,1524440,18895,6.081,4,2024-01-03T19:00:00.000
Tempe,, , ,2024,1,3,20,10357.13,0.31,1954.5,7.98,66.78,12.21,2959,739795,283,1964,490852,188,668,167061,64,5591,1397708,16631,5.623,4,2024-01-03T20:00:00.000
Tempe,, , ,2024,1,3,21,10520.7,0.29,1893.02,7.79,66.4,12.14,3006,751479,287,1902,475412,182,652,163003,62,5560,1389894,16155,5.713,4,2024-01-03T21:00:00.000
Tempe,, , ,2024,1,3,22,12524.35,0.31,1727.52,7.11,70.57,12.9,3578,894597,342,1736,433850,166,595,148762,57,5909,1477208,15023,6.799,4,2024-01-03T22:00:00.000
Tempe,, , ,2024,1,3,23,12307.25,0.3,1594.84,6.98,68.11,12.45,3516,879090,336,1603,400527,153,584,146011,56,5703,1425628,13941,6.682,4,2024-01-03T23:00:00.000
Tempe,, , ,2024,1,4,0,12447.15,0.27,1585.82,7.02,68.52,12.52,3556,889082,340,1593,398263,152,587,146815,56,5737,1434161,13882,6.757,5,2024-01-04T00:00:00.000
Tempe,, , ,2024,1,4,1,12464.2,0.33,1560.2,7.04,68.29,12.48,3561,890300,340,1568,391829,150,589,147272,56,5718,1429401,13679,6.766,5,2024-01-04T01:00:00.000
Tempe,, , ,2024,1,4,2,12515.7,0.18,1548.58,7.2,68.49,12.52,3576,893979,342,1556,388911,149,603,150624,58,5735,1433514,13591,6.797,5,2024-01-04T02:00:00.000
Tempe,, , ,2024,1,4,3,12422.42,0.28,1486.61,7.4,67.63,12.36,3549,887316,339,1494,373348,143,620,154942,59,5663,1415606,13086,6.745,5,2024-01-04T03:00:00.000
Tempe,, , ,2024,1,4,4,12320.35,0.31,1447.83,7.6899999999999995,67.1,12.26,3520,880025,336,1455,363607,139,644,160848,61,5618,1404480,12766,6.688,5,2024-01-04T04:00:00.000
Tempe,, , ,2024,1,4,5,12071.25,0.34,1554.02,8.53,68.36,12.5,3449,862232,330,1562,390277,149,714,178455,68,5724,1430964,13592,6.553,5,2024-01-04T05:00:00.000
Tempe,, , ,2024,1,4,6,11066.45,0.39,1740.74,9.06,67.71,12.38,3162,790461,302,1749,437170,167,759,189695,73,5670,1417326,14989,6.008,5,2024-01-04T06:00:00.000
Tempe,, , ,2024,1,4,7,10766.42,3.24,1770.18,9.12,67.1,12.26,3076,769031,294,1779,444562,170,764,190938,73,5619,1404530,15196,5.843,5,2024-01-04T07:00:00.000
Tempe,, , ,2024,1,4,8,10927.5,265.24,1783.33,9.04,67.72,12.38,3122,780536,298,1792,447865,171,757,189159,72,5671,1417560,15316,5.79,5,2024-01-04T08:00:00.000
Tempe,, , ,2024,1,4,9,11266.4,2254.97,1921.64,8.76,70.26,12.84,3219,804743,308,1931,482601,184,734,183354,70,5883,1470699,16455,4.892,5,2024-01-04T09:00:00.000
Tempe,, , ,2024,1,4,10,11568.68,4378.12,2090.78,8.05,72.62,13.27,3305,826334,316,2101,525078,201,674,168530,64,6080,1519943,17838,3.9050000000000002,5,2024-01-04T10:00:00.000
Tempe,, , ,2024,1,4,11,11847.38,4493.67,2160.48,8.07,74.42,13.6,3385,846241,323,2171,542584,207,676,168959,65,6232,1557784,18422,3.992,5,2024-01-04T11:00:00.000
Tempe,, , ,2024,1,4,12,12515.65,4872.03,2241.65,8,77.6,14.18,3576,893975,342,2252,562967,215,670,167363,64,6498,1624306,19135,4.151,5,2024-01-04T12:00:00.000
Tempe,, , ,2024,1,4,13,12618.65,3951.66,2331.05,7.8100000000000005,78.84,14.41,3605,901333,344,2342,585421,224,654,163399,62,6601,1650153,19861,4.707,5,2024-01-04T13:00:00.000
Tempe,, , ,2024,1,4,14,-6.50868875e+31,3548.98,2302.6,7.76,-2.22085702488025e+29,-4.0597946078125e+28,-1.859625357142857e+31,-4.6490652524825e+33,-1.7766767680874998e+30,2314,578274,221,650,162407,62,-1.8596253571428573e+31,-4.649065252482501e+33,-6.2483412e+30,-3.5342054000000003e+28,5,2024-01-04T14:00:00.000
Tempe,, , ,2024,1,4,15,-3.8687813041575e+31,1560.51,2309.42,7.8100000000000005,-1.320083117673058e+29,-2.413152338468241e+28,-1.105366086902143e+31,-2.7634163226214445e+33,-1.0560612325958727e+30,2321,579988,222,654,163476,62,-1.105366086902143e+31,-2.763416322621444e+33,-3.7140300519912e+30,-2.1007513373325e+28,5,2024-01-04T15:00:00.000
Tempe,, , ,2024,1,4,16,-1.6928143075e+29,991.34,2368.36,7.64,-5.7761227968216645e+26,-1.0558929243031248e+26,-4.836612307142857e+28,-1.2091535604469452e+31,-4.6208752151827497e+27,2380,594791,227,640,159884,61,-4.836612307142857e+28,-1.209153560446945e+31,-1.6251017352e+28,-9.1919751725e+25,5,2024-01-04T16:00:00.000
Tempe,, , ,2024,1,4,17,-1.425829e+26,254.33,2317.84,8.09,-4.8651310157180004e+23,-8.8936083875e+22,-4.073797142857143e+25,-1.018449693094e+28,-3.8920854212999996e+24,2329,582102,223,677,169283,65,-4.073797142857143e+25,-1.018449693094e+28,-1.3687958400000002e+25,-7.742245e+22,5,2024-01-04T17:00:00.000
Tempe,, , ,2024,1,4,18,-1.406385e+26,2.57,2070.84,8.17,-4.79878532667e+23,-8.7723264375e+22,-4.018242857142857e+25,-1.00456111611e+28,-3.8390091344999996e+24,2081,520071,199,684,170920,65,-4.018242857142857e+25,-1.00456111611e+28,-1.3501296000000003e+25,-7.6366625e+22,5,2024-01-04T18:00:00.000
Tempe,, , ,2024,1,4,19,-1.9505725e+26,0.31,2059.49,8.37,-6.655630351295e+23,-1.216669596875e+23,-5.573064285714285e+25,-1.393266628735e+28,-5.324477753249999e+24,2069,517221,198,701,175243,67,-5.573064285714286e+25,-1.393266628735e+28,-1.8725496000000002e+25,-1.05915825e+23,5,2024-01-04T19:00:00.000
Tempe,, , ,2024,1,4,20,-5.1920075e+26,0.32,2087.56,8.38,-1.7715866855065001e+24,-3.2385146781250005e+23,-1.4834307142857143e+26,-3.7085782691450003e+28,-1.417262287275e+25,2098,524269,200,702,175334,67,-1.4834307142857143e+26,-3.7085782691450007e+28,-4.9843272e+25,-2.81925825e+23,5,2024-01-04T20:00:00.000
Tempe,, , ,2024,1,4,21,-3.8261165e+29,0.29,1943.63,8.54,-1.3055252806543e+27,-2.386540166875e+26,-1.0931761428571428e+29,-2.7329414503190003e+31,-1.044415021005e+28,1953,488124,187,715,178751,68,-1.0931761428571428e+29,-2.7329414503190003e+31,-3.67307184e+28,-2.0775805e+26,5,2024-01-04T21:00:00.000
Tempe,, , ,2024,1,4,22,-3.63033375e+30,0.27,1989.52,7.98,-1.23872142623925e+28,-2.2644206765625e+27,-1.0372382142857143e+30,-2.5930965729525e+32,-9.909722037375e+28,1999,499647,191,668,166998,64,-1.0372382142857143e+30,-2.5930965729525e+32,-3.4851204e+29,-1.97127125e+27,5,2024-01-04T22:00:00.000
Tempe,, , ,2024,1,4,23,-1.0579945e+31,0.27,1823.26,7.61,-3.610027469219e+28,-6.59924069375e+27,-3.0228414285714287e+30,-7.55710659427e+32,-2.88800758665e+29,1832,457894,175,637,159213,61,-3.0228414285714287e+30,-7.55710659427e+32,-1.0156747200000001e+30,-5.7449025e+27,5,2024-01-04T23:00:00.000
Tempe,, , ,2024,1,5,0,-8.109725e+30,0.31,1754.45,7.8100000000000005,-2.767153328095e+28,-5.058440968750001e+27,-2.3170642857142857e+30,-5.79266303135e+32,-2.21371163325e+29,1763,440613,168,654,163505,63,-2.3170642857142854e+30,-5.7926630313500006e+32,-7.785336e+29,-4.4035799999999996e+27,6,2024-01-05T00:00:00.000
Tempe,, , ,2024,1,5,1,-9.57449e+30,0.29,1695.47,7.72,-3.266951945758e+28,-5.9720881375e+27,-2.735568571428571e+30,-6.838924164140001e+32,-2.6135485353e+29,1704,425800,163,646,161511,62,-2.735568571428571e+30,-6.83892416414e+32,-9.1915104e+29,-5.1989425e+27,6,2024-01-05T01:00:00.000
Tempe,, , ,2024,1,5,2,-8.354512499999999e+30,0.3,1650.61,7.96,-2.8506782990775e+28,-5.211127171875e+27,-2.3870035714285713e+30,-5.967511315575e+32,-2.2805312771249997e+29,1659,414533,158,667,166670,64,-2.3870035714285716e+30,-5.9675113155750004e+32,-8.020332e+29,-4.5364975e+27,6,2024-01-05T02:00:00.000
Tempe,, , ,2024,1,5,3,-7.660045e+30,0.3,1626.13,7.96,-2.613716126639e+28,-4.77795306875e+27,-2.1885842857142858e+30,-5.4714629028700006e+32,-2.09096248365e+29,1634,408387,156,667,166653,64,-2.1885842857142855e+30,-5.4714629028700006e+32,-7.3536432e+29,-4.1594025e+27,6,2024-01-05T03:00:00.000
Tempe,, , ,2024,1,5,4,-8.602785e+30,0.28,1635.64,8.49,-2.935392401547e+28,-5.36598714375e+27,-2.4579385714285715e+30,-6.14484888651e+32,-2.34830222145e+29,1644,410773,157,711,177771,68,-2.4579385714285712e+30,-6.14484888651e+32,-8.258673600000001e+29,-4.6713175000000003e+27,6,2024-01-05T04:00:00.000
Tempe,, , ,2024,1,5,5,-1.6363925007282366e+30,0.3,1713.52,9.19,-5.583603580219847e+27,-1.0206998223292376e+27,-4.675407144937819e+29,-1.1688522537751692e+32,-4.466860609237867e+28,1722,430333,164,769,192239,73,-4.675407144937819e+29,-1.1688522537751692e+32,-1.5709368006991072e+29,-8.885605003954314e+26,6,2024-01-05T05:00:00.000
Tempe,, , ,2024,1,5,6,-3.694099775e+24,0.34,1677.63,10.41,-1.260479299446805e+22,-2.30419473465625e+21,-1.0554570785714286e+24,-2.6386437518856503e+26,-1.00837841558175e+23,1686,421320,161,872,217823,83,-1.0554570785714284e+24,-2.63864375188565e+26,-3.5463357840000004e+23,-2.0058972e+21,6,2024-01-05T06:00:00.000
Tempe,, , ,2024,1,5,7,-4.3820024999999996e+24,6.38,1709.73,9.83,-1.4952014774355e+22,-2.733274059375e+21,-1.2520007142857142e+24,-3.130003037715e+26,-1.1961552224249999e+23,1718,429381,164,823,205817,79,-1.2520007142857142e+24,-3.1300030377150004e+26,-4.2067224e+23,-2.3794257500000003e+21,6,2024-01-05T07:00:00.000
Tempe,, , ,2024,1,5,8,-1.62257425e+25,378.88,1728.3,10.23,-5.5364537465435e+22,-1.0120806884375e+22,-4.6359264285714284e+24,-1.1589820707355e+27,-4.4291409302249993e+23,1737,434045,166,856,214028,82,-4.635926428571429e+24,-1.1589820707355001e+27,-1.55767128e+24,-8.810562500000001e+21,6,2024-01-05T08:00:00.000
Tempe,, , ,2024,1,5,9,-4.90159075e+26,2136.33,1833.53,9.18,-1.6724923664886503e+24,-3.0573672303125004e+23,-1.4004545e+26,-3.5011376504545003e+28,-1.3379872270275e+25,1842,460473,176,769,192099,73,-1.4004545e+26,-3.5011376504545e+28,-4.70552712e+25,-2.66156625e+23,6,2024-01-05T09:00:00.000
Tempe,, , ,2024,1,5,10,-3.89750645e+29,3688.48,1939.13,8.91,-1.32988454533159e+27,-2.4310696481875e+26,-1.1135732714285714e+29,-2.7839342921447e+31,-1.0639023356565e+28,1948,486992,186,746,186545,71,-1.1135732714285714e+29,-2.7839342921447e+31,-3.7416061919999995e+28,-2.116346175e+26,6,2024-01-05T10:00:00.000
