campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2023,1,1,0,11139.1,1.5699999999999998,3097.37,7.97,83.15,15.2,3183,795650,304,3112,777874,297,668,166836,64,6962,1740360,25849,6.047,1,2023-01-01T00:00:00.000
Tempe,, , ,2023,1,1,1,10981.6,2,3075.17,7.6,81.97,14.98,3138,784400,300,3090,772298,295,636,158988,61,6864,1715687,25656,5.961,1,2023-01-01T01:00:00.000
Tempe,, , ,2023,1,1,2,10916.1,2.33,3011.79,7.82,81.21,14.84,3119,779722,298,3026,756381,289,655,163628,63,6800,1699731,25143,5.926,1,2023-01-01T02:00:00.000
Tempe,, , ,2023,1,1,3,10873.6,2.61,2956.7,7.87,80.46,14.71,3107,776686,297,2971,742546,284,659,164770,63,6737,1684001,24698,5.9030000000000005,1,2023-01-01T03:00:00.000
Tempe,, , ,2023,1,1,4,10249.58,2.77,2861.86,8,77.32,14.13,2928,732113,280,2876,718726,275,670,167523,64,6474,1618362,23879,5.5649999999999995,1,2023-01-01T04:00:00.000
Tempe,, , ,2023,1,1,5,11086.98,2.2800000000000002,3019.06,8.29,82.35,15.05,3168,791927,303,3034,758207,290,694,173552,66,6896,1723686,25218,6.021,1,2023-01-01T05:00:00.000
Tempe,, , ,2023,1,1,6,11869.65,1.6,3268.84,8.3,88.03,16.09,3391,847832,324,3285,820937,314,695,173793,66,7371,1842562,27291,6.446,1,2023-01-01T06:00:00.000
Tempe,, , ,2023,1,1,7,11935.8,2.12,3385.83,8.34,89.7,16.39,3410,852557,326,3402,850316,325,699,174608,67,7511,1877481,28233,6.483,1,2023-01-01T07:00:00.000
Tempe,, , ,2023,1,1,8,11991.35,13.34,3400.39,8.49,90.21,16.49,3426,856525,327,3417,853975,326,711,177628,68,7554,1888128,28355,6.504,1,2023-01-01T08:00:00.000
Tempe,, , ,2023,1,1,9,11961.98,49.95,3431.7,8.18,90.18,16.48,3418,854427,327,3448,861836,329,685,171213,65,7551,1887476,28603,6.47,1,2023-01-01T09:00:00.000
Tempe,, , ,2023,1,1,10,11965.78,160.29,3472.9,8.09,90.59,16.56,3419,854699,327,3490,872184,333,677,169284,65,7586,1896167,28933,6.41,1,2023-01-01T10:00:00.000
Tempe,, , ,2023,1,1,11,12017.45,427.86,3534.35,8.33,91.75,16.77,3434,858390,328,3551,887615,339,698,174358,67,7683,1920363,29429,6.294,1,2023-01-01T11:00:00.000
Tempe,, , ,2023,1,1,12,12074.73,1457.05,3566.34,7.78,91.77,16.77,3450,862481,330,3584,895650,342,651,162781,62,7685,1920912,29691,5.766,1,2023-01-01T12:00:00.000
Tempe,, , ,2023,1,1,13,12050.2,1181.09,3620.82,7.78,92.35,16.88,3443,860729,329,3638,909333,348,651,162797,62,7733,1932860,30124,5.902,1,2023-01-01T13:00:00.000
Tempe,, , ,2023,1,1,14,12165.5,779.9,3631.58,7.8100000000000005,92.9,16.98,3476,868965,332,3649,912035,349,654,163454,62,7779,1944453,30221,6.183,1,2023-01-01T14:00:00.000
Tempe,, , ,2023,1,1,15,12007.03,519.43,3327.27,8.14,89.03,16.27,3431,857645,328,3343,835611,319,681,170310,65,7455,1863566,27772,6.239,1,2023-01-01T15:00:00.000
