campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2022,1,1,0,14250.45,3.54,1978.43,6.99,79.36,14.51,4072,1017890,389,1988,496863,190,586,146347,56,6645,1661099,17196,7.736,7,2022-01-01T00:00:00.000
Tempe,, , ,2022,1,1,1,14040.17,3.9699999999999998,1954.17,6.91,78.26,14.31,4011,1002870,383,1964,490770,188,578,144530,55,6553,1638171,16982,7.62,7,2022-01-01T01:00:00.000
Tempe,, , ,2022,1,1,2,14061.8,4.58,1898.31,7.11,77.87,14.23,4018,1004415,384,1907,476742,182,595,148822,57,6521,1629979,16537,7.633,7,2022-01-01T02:00:00.000
Tempe,, , ,2022,1,1,3,11872.83,4.88,1882.15,7.21,70.3,12.85,3392,848059,324,1891,472683,181,604,150839,58,5887,1471581,16198,6.443,7,2022-01-01T03:00:00.000
Tempe,, , ,2022,1,1,4,11590,5.05,1811.76,7.65,68.94,12.6,3311,827857,316,1820,455006,174,640,160082,61,5772,1442945,15607,6.291,7,2022-01-01T04:00:00.000
Tempe,, , ,2022,1,1,5,11931,5.28,1741.15,8.05,69.65,12.73,3409,852215,326,1750,437274,167,674,168369,64,5832,1457858,15075,6.475,7,2022-01-01T05:00:00.000
Tempe,, , ,2022,1,1,6,12885.08,4.28,1786.9,9.08,74.49,13.62,3681,920363,352,1796,448763,172,760,190032,73,6237,1559158,15533,6.996,7,2022-01-01T06:00:00.000
Tempe,, , ,2022,1,1,7,13308.33,11.07,1829.24,9.62,76.98,14.07,3802,950595,363,1838,459396,176,806,201338,77,6446,1611329,15912,7.22,7,2022-01-01T07:00:00.000
Tempe,, , ,2022,1,1,8,12019.3,482.63,1722.23,9.59,71.27,13.03,3434,858522,328,1731,432521,165,803,200725,77,5968,1491768,14933,6.2620000000000005,7,2022-01-01T08:00:00.000
Tempe,, , ,2022,1,1,9,12353.52,3259.48,1824.15,8.5,72.54,13.26,3530,882395,337,1833,458118,175,712,177847,68,6074,1518359,15780,4.9399999999999995,7,2022-01-01T09:00:00.000
Tempe,, , ,2022,1,1,10,12396.37,6169.94,1961.96,8.42,74.27,13.57,3542,885456,338,1971,492727,188,705,176299,67,6219,1554482,16887,3.3810000000000002,7,2022-01-01T10:00:00.000
Tempe,, , ,2022,1,1,11,12209.6,7748.59,1910.3,8.52,73.11,13.36,3488,872115,333,1920,479754,183,714,178375,68,6122,1530243,16455,2.423,7,2022-01-01T11:00:00.000
Tempe,, , ,2022,1,1,12,12829,8977.25,2080.68,8.17,76.91,14.06,3665,916358,350,2091,522541,200,684,170954,65,6440,1609853,17878,2.094,7,2022-01-01T12:00:00.000
Tempe,, , ,2022,1,1,13,12532.17,9065.92,2144,8.24,76.73,14.02,3581,895156,342,2154,538444,206,690,172485,66,6425,1606085,18356,1.883,7,2022-01-01T13:00:00.000
Tempe,, , ,2022,1,1,14,12635.25,8224.35,2184.94,8.17,77.51,14.17,3610,902518,345,2195,548727,210,684,171058,65,6490,1622303,18693,2.396,7,2022-01-01T14:00:00.000
Tempe,, , ,2022,1,1,15,12486.85,6323.56,2208.83,8.19,77.31,14.13,3568,891918,341,2219,554726,212,686,171486,66,6473,1618129,18870,3.347,7,2022-01-01T15:00:00.000
Tempe,, , ,2022,1,1,16,11915.55,2733.2,2043.41,8.6,73.78,13.49,3404,851111,325,2053,513182,196,720,180050,69,6178,1544343,17492,4.987,7,2022-01-01T16:00:00.000
Tempe,, , ,2022,1,1,17,12478.05,637.36,1929.34,9.26,74.99,13.71,3565,891290,341,1939,484533,185,776,193853,74,6279,1569676,16633,6.429,7,2022-01-01T17:00:00.000
Tempe,, , ,2022,1,1,18,12388.53,205.27,1888.22,9.42,74.35,13.59,3540,884895,338,1897,474207,181,789,197209,75,6226,1556311,16296,6.617,7,2022-01-01T18:00:00.000
Tempe,, , ,2022,1,1,19,11906.4,2.88,1631.19,9.47,69.67,12.73,3402,850457,325,1639,409656,157,793,198183,76,5834,1458297,14193,6.464,7,2022-01-01T19:00:00.000
Tempe,, , ,2022,1,1,20,12501.17,3.03,1720.59,9.39,72.7,13.29,3572,892941,341,1729,432110,165,786,196576,75,6087,1521627,14966,6.787,7,2022-01-01T20:00:00.000
Tempe,, , ,2022,1,1,21,11783.77,3.23,1594.25,9.25,68.59,12.54,3367,841699,322,1602,400380,153,774,193514,74,5743,1435592,13886,6.397,7,2022-01-01T21:00:00.000
Tempe,, , ,2022,1,1,22,11368.58,3.45,1439.43,9.12,65.19,11.91,3248,812041,310,1446,361498,138,764,190882,73,5458,1364421,12608,6.172,7,2022-01-01T22:00:00.000
Tempe,, , ,2022,1,1,23,11228.7,3.35,1383.5,8.87,63.79,11.66,3208,802050,307,1390,347451,133,743,185723,71,5341,1335224,12147,6.099,7,2022-01-01T23:00:00.000
Tempe,, , ,2022,1,2,0,11167.08,3.31,1382.74,8.81,63.51,11.61,3191,797649,305,1389,347261,133,738,184374,70,5318,1329284,12135,6.06,1,2022-01-02T00:00:00.000
Tempe,, , ,2022,1,2,1,11131.35,3.21,1324.49,8.78,62.66,11.45,3180,795097,304,1331,332632,127,735,183750,70,5246,1311479,11665,6.042,1,2022-01-02T01:00:00.000
Tempe,, , ,2022,1,2,2,11149.93,3.44,1409.32,9.09,64.05,11.71,3186,796424,304,1416,353937,135,761,190206,73,5363,1340566,12346,6.054,1,2022-01-02T02:00:00.000
Tempe,, , ,2022,1,2,3,11230.1,3.56,1325.08,9.63,63.85,11.67,3209,802150,307,1331,332781,127,807,201588,77,5347,1336519,11680,6.097,1,2022-01-02T03:00:00.000
